0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:35:00 +0800] "POST /MSC/menu_slt?id=1001&kind=teacher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:35:04 +0800] "GET /MSC/teacher_menu.jsp HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:37:12 +0800] "POST /MSC/menu_slt?id=1001&kind=teacher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:37:12 +0800] "POST /MSC/menu_slt?id=1001&kind=teacher HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:18 +0800] "GET /MSC/menu_slt?action=quit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:18 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:18 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:29 +0800] "POST /MSC/login_conf HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:31 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:47 +0800] "POST /MSC/login_conf HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:49 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:38:50 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:10 +0800] "POST /MSC/login_conf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:10 +0800] "GET /MSC/teacher_frame.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:10 +0800] "GET /MSC/teacher_navi.jsp HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:10 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:10 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:13 +0800] "GET /MSC/teacher_sel.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:13 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:15 +0800] "GET /MSC/teacher_sel_self.jsp?tid=1002 HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:16 +0800] "GET /MSC/teacher_sub.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:16 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:18 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subing HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:19 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subed HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:20 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subed HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:20 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subing HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:21 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subing HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:21 +0800] "GET /MSC/teacher_sub_cl.jsp?tid=1002&con=subed HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:22 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:22 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:24 +0800] "GET /MSC/admin_cou_sel.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:26 +0800] "GET /MSC/teacher_cho_set.jsp HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:28 +0800] "GET /MSC/teacher_cho_seted.jsp?tid=1002 HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:29 +0800] "GET /MSC/teacher_cho_del.jsp HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:31 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:33 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:34 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:35 +0800] "GET /MSC/admin_cou_sel.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:37 +0800] "GET /MSC/teacher_cho_set.jsp HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:38 +0800] "GET /MSC/teacher_cho_seted.jsp?tid=1002 HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:39:41 +0800] "GET /MSC/teacher_cho_del.jsp HTTP/1.1" 200 894
